width: 54, height: 211
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 41
drawing at 47, 41
drawing at 47, 40
drawing at 47, 41
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 41
drawing at 47, 41
drawing at 47, 41
drawing at 47, 40
drawing at 47, 40
drawing at 47, 39
drawing at 47, 38
drawing at 47, 39
drawing at 47, 39
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 40
drawing at 47, 41
drawing at 48, 42
drawing at 48, 41
drawing at 48, 40
drawing at 48, 41
drawing at 48, 40
drawing at 48, 41
drawing at 48, 41
drawing at 48, 41
drawing at 48, 41
drawing at 48, 40
drawing at 48, 41
drawing at 48, 41
drawing at 48, 40
drawing at 48, 40
drawing at 48, 41
drawing at 48, 41
drawing at 48, 40
drawing at 48, 40
drawing at 48, 40
drawing at 48, 40
drawing at 48, 41
drawing at 48, 41
drawing at 48, 40
drawing at 48, 41
drawing at 48, 40
drawing at 48, 40
drawing at 48, 39
drawing at 48, 40
drawing at 48, 40
drawing at 48, 40
drawing at 49, 39
drawing at 49, 39
drawing at 49, 40
drawing at 49, 40
drawing at 49, 39
drawing at 49, 40
drawing at 49, 40
drawing at 49, 40
drawing at 49, 40
drawing at 49, 41
drawing at 49, 40
drawing at 49, 41
drawing at 49, 40
drawing at 49, 41
drawing at 49, 40
drawing at 49, 40
drawing at 49, 39
drawing at 49, 38
drawing at 49, 38
drawing at 49, 38
drawing at 49, 38
drawing at 49, 39
drawing at 49, 39
drawing at 49, 39
drawing at 49, 39
drawing at 49, 38
drawing at 49, 38
drawing at 50, 38
